age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;blue-collar;single;secondary;no;11142;yes;no;cellular;25;aug;210;2;-1;0;unknown;yes
43;management;married;tertiary;no;5284;no;no;telephone;11;jul;26;1;336;1;unknown;yes
30;services;married;secondary;no;3216;no;no;unknown;27;jun;499;3;262;1;unknown;yes
37;services;married;secondary;no;1576;no;yes;cellular;25;jul;37;1;-1;0;unknown;no
18;services;married;tertiary;no;-506;yes;yes;cellular;28;apr;77;3;-1;0;unknown;no
42;technician;divorced;secondary;no;-2580;yes;no;telephone;25;jun;537;2;351;1;failure;no
55;management;divorced;secondary;no;1008;no;no;cellular;19;dec;76;3;-1;0;unknown;no
26;services;single;secondary;no;-1229;no;no;cellular;1;mar;355;3;-1;0;unknown;yes
42;retired;married;secondary;no;-1054;no;no;unknown;1;jun;154;3;291;1;unknown;yes
51;blue-collar;married;secondary;no;-2900;yes;no;cellular;3;may;370;4;-1;0;unknown;no
53;admin.;single;tertiary;no;2098;no;no;telephone;26;jun;68;3;-1;0;unknown;no
55;blue-collar;divorced;secondary;no;219;yes;yes;cellular;14;jul;141;3;-1;0;success;no
20;management;divorced;secondary;no;2955;no;no;cellular;8;jul;99;1;-1;0;unknown;no
46;retired;single;primary;no;2721;no;no;unknown;15;oct;74;1;-1;0;unknown;yes
24;technician;single;secondary;no;2038;no;yes;unknown;4;may;98;5;-1;0;unknown;yes
30;blue-collar;married;secondary;no;9328;no;no;cellular;11;jun;101;1;-1;0;unknown;no
50;blue-collar;married;tertiary;no;3821;yes;no;unknown;8;jan;808;3;-1;0;unknown;no
42;unemployed;divorced;secondary;no;-2431;no;yes;unknown;7;aug;198;1;-1;0;other;no
48;admin.;single;tertiary;no;2726;no;no;cellular;24;may;161;2;-1;0;unknown;no
30;management;married;secondary;yes;1187;yes;no;cellular;2;aug;181;5;-1;0;unknown;no
57;management;married;primary;no;-2674;no;no;cellular;8;may;1444;3;-1;0;unknown;yes
48;management;single;primary;no;-2914;yes;no;cellular;25;jan;275;2;-1;0;unknown;no
50;admin.;married;secondary;no;2709;no;no;cellular;26;may;316;2;-1;0;failure;no
29;admin.;married;secondary;no;3442;yes;no;cellular;27;dec;97;1;10;2;failure;no
53;admin.;married;secondary;no;-1788;no;no;cellular;22;may;165;3;-1;0;unknown;no
37;management;single;tertiary;no;4260;yes;yes;unknown;19;apr;52;1;-1;0;unknown;no
34;management;single;primary;no;2204;yes;no;unknown;23;apr;300;4;-1;0;unknown;no
47;blue-collar;married;secondary;no;4937;yes;no;cellular;9;may;109;1;-1;0;unknown;no
47;retired;single;secondary;no;4618;yes;no;unknown;16;feb;358;1;-1;0;unknown;yes
31;technician;married;secondary;no;874;no;no;cellular;8;jun;62;2;-1;0;unknown;yes
63;admin.;married;secondary;no;6256;yes;no;cellular;8;may;134;2;-1;0;failure;yes
60;management;single;secondary;no;-2022;no;no;cellular;11;jun;165;3;-1;0;unknown;yes
47;services;single;secondary;no;8520;no;no;unknown;7;apr;47;2;-1;0;unknown;no
45;blue-collar;single;tertiary;no;-1286;no;no;unknown;21;may;18;2;395;0;unknown;no
44;blue-collar;single;tertiary;no;1205;no;no;unknown;2;jul;99;5;-1;0;unknown;yes
23;retired;married;secondary;no;-351;yes;no;unknown;21;feb;204;4;-1;0;unknown;yes
42;technician;married;primary;no;219;yes;no;cellular;5;may;274;3;-1;0;success;no
42;technician;married;tertiary;no;10120;yes;no;unknown;18;may;144;3;-1;0;unknown;no
34;management;married;secondary;no;-38;yes;no;cellular;11;may;180;1;-1;0;unknown;no
37;services;married;secondary;no;3903;no;no;cellular;26;jul;203;4;-1;0;unknown;yes
18;housemaid;divorced;secondary;no;643;yes;no;telephone;17;jul;186;1;-1;0;unknown;yes
28;retired;married;primary;no;4159;no;yes;telephone;21;jul;24;4;-1;0;unknown;no
51;management;divorced;secondary;no;-282;yes;no;cellular;6;may;134;5;198;0;unknown;no
60;blue-collar;single;secondary;no;2118;no;no;cellular;13;may;59;1;-1;0;unknown;no
30;services;single;secondary;no;3236;yes;no;cellular;7;may;198;1;-1;0;unknown;no
43;management;married;secondary;no;-815;yes;no;cellular;11;jun;368;4;-1;0;unknown;yes
53;entrepreneur;married;tertiary;no;9623;no;no;cellular;18;jun;225;5;-1;0;unknown;no
35;technician;married;secondary;no;3392;yes;no;cellular;6;may;65;1;-1;0;failure;no
48;admin.;married;primary;no;672;no;no;cellular;12;aug;60;1;-1;0;unknown;no
40;blue-collar;single;secondary;no;-741;yes;yes;unknown;24;apr;9;3;-1;0;unknown;no
54;admin.;married;tertiary;no;1625;yes;yes;unknown;22;dec;144;4;-1;0;failure;no
26;services;married;tertiary;no;-2297;no;no;cellular;3;apr;147;1;-1;0;unknown;no
28;services;single;secondary;no;6696;yes;no;unknown;19;aug;70;1;-1;0;unknown;no
44;entrepreneur;married;secondary;no;2643;no;no;cellular;11;may;375;3;-1;0;unknown;no
42;self-employed;divorced;tertiary;no;1086;yes;no;cellular;23;oct;127;5;53;0;unknown;no
40;management;divorced;tertiary;no;4487;no;no;cellular;2;mar;287;1;-1;0;unknown;no
47;services;divorced;primary;no;-814;yes;no;cellular;3;may;265;3;-1;0;failure;yes
30;management;married;secondary;no;-2117;yes;no;cellular;23;may;241;5;-1;0;unknown;no
25;management;married;secondary;no;959;yes;no;cellular;25;dec;620;1;-1;0;other;no
35;technician;divorced;tertiary;no;1732;yes;no;cellular;17;dec;4;1;-1;0;unknown;no
36;blue-collar;married;secondary;no;2941;yes;no;cellular;5;may;18;3;-1;0;unknown;no
37;blue-collar;divorced;secondary;no;-3000;no;no;unknown;2;jul;332;4;-1;0;unknown;no
54;management;divorced;tertiary;no;-18;no;no;cellular;12;jun;113;4;343;1;unknown;yes
49;unemployed;single;tertiary;no;-3000;yes;no;unknown;5;may;1119;2;257;1;unknown;yes
46;housemaid;married;tertiary;no;-2197;yes;no;cellular;13;may;63;4;-1;0;success;yes
43;admin.;married;unknown;no;3495;yes;no;unknown;22;dec;52;4;-1;0;unknown;no
36;entrepreneur;single;primary;no;4233;yes;no;cellular;24;jun;230;4;-1;0;unknown;yes
31;management;married;secondary;no;-2076;yes;no;unknown;7;apr;85;1;-1;0;unknown;yes
27;blue-collar;married;secondary;no;376;yes;no;unknown;21;may;108;1;-1;0;success;no
33;self-employed;married;tertiary;no;1426;no;no;cellular;11;may;660;5;393;2;unknown;yes
40;unknown;divorced;secondary;no;4584;no;yes;telephone;5;jun;6;3;-1;0;unknown;no
28;management;single;unknown;no;5937;yes;no;cellular;18;may;197;1;7;2;failure;no
42;entrepreneur;married;secondary;no;1809;yes;no;unknown;6;jun;106;2;336;0;unknown;no
38;management;married;tertiary;no;568;no;no;cellular;3;may;110;1;-1;0;unknown;yes
36;blue-collar;single;primary;no;-2981;yes;no;cellular;6;may;74;2;-1;0;unknown;no
53;technician;divorced;secondary;no;1674;no;no;cellular;16;mar;37;1;-1;0;failure;no
18;management;married;tertiary;no;7574;no;no;cellular;3;nov;9;6;-1;0;failure;no
36;housemaid;married;primary;no;5220;no;no;cellular;18;may;1143;1;-1;0;unknown;yes
18;self-employed;single;tertiary;no;1874;yes;yes;unknown;24;aug;280;1;-1;0;failure;no
43;management;single;primary;no;2260;no;yes;cellular;4;may;390;1;-1;0;other;no
49;retired;single;secondary;no;-715;no;no;unknown;5;jun;17;4;-1;0;unknown;no
26;admin.;single;secondary;no;278;no;no;cellular;9;may;3;3;133;3;unknown;no
27;technician;married;secondary;no;1792;no;no;cellular;4;jul;238;2;-1;0;unknown;no
22;technician;married;tertiary;no;1801;yes;no;cellular;1;oct;334;2;-1;0;unknown;yes
41;retired;single;secondary;no;4382;yes;no;unknown;27;may;130;4;-1;0;unknown;no
37;technician;single;primary;no;4236;no;no;cellular;22;may;127;1;-1;0;unknown;no
37;blue-collar;single;primary;no;2911;no;no;cellular;27;jul;126;6;151;0;unknown;no
36;management;divorced;secondary;no;-1647;no;no;cellular;11;may;43;2;-1;0;unknown;no
30;retired;married;secondary;no;-1534;no;no;cellular;5;jul;364;1;78;1;unknown;no
53;management;married;tertiary;no;-1313;yes;no;unknown;10;apr;63;1;371;2;failure;yes
43;management;single;secondary;no;2056;yes;no;cellular;3;jul;101;1;-1;0;unknown;no
27;entrepreneur;single;secondary;no;-3000;yes;no;cellular;15;jun;289;1;-1;0;unknown;no
33;blue-collar;single;secondary;no;1331;yes;no;cellular;27;apr;0;1;-1;0;failure;no
31;management;single;primary;no;5575;no;yes;cellular;27;jul;377;2;-1;0;unknown;yes
56;blue-collar;divorced;secondary;no;3350;yes;no;cellular;14;may;596;2;184;1;other;yes
48;services;married;unknown;no;297;no;no;cellular;5;may;13;4;-1;0;unknown;yes
39;blue-collar;married;tertiary;no;-744;no;no;cellular;8;may;232;3;-1;0;unknown;no
59;admin.;married;secondary;no;3767;yes;no;cellular;17;jun;136;1;-1;0;unknown;yes
56;management;married;secondary;no;2268;yes;no;cellular;20;apr;21;1;-1;0;success;yes
38;management;married;tertiary;no;610;no;no;cellular;19;dec;298;1;-1;0;unknown;yes
36;technician;married;secondary;no;-417;no;no;cellular;4;jul;246;3;-1;0;success;yes
37;management;married;primary;no;1579;no;no;cellular;2;apr;267;1;-1;0;unknown;yes
30;entrepreneur;married;primary;no;440;yes;no;cellular;2;sep;436;1;-1;0;unknown;yes
60;technician;married;secondary;yes;3703;yes;no;cellular;2;may;87;1;-1;0;unknown;no
29;management;married;unknown;no;5073;yes;no;unknown;3;jul;293;4;-1;0;unknown;no
50;admin.;married;tertiary;no;-2751;yes;no;cellular;28;may;353;2;-1;0;unknown;yes
48;management;single;primary;no;-2327;no;no;cellular;9;aug;48;5;341;2;unknown;no
37;technician;married;secondary;no;5394;no;no;cellular;5;aug;818;3;-1;0;unknown;yes
60;management;married;tertiary;no;1847;yes;no;cellular;20;jun;108;2;-1;0;unknown;no
23;blue-collar;married;tertiary;no;-2044;yes;yes;unknown;15;may;325;4;-1;0;unknown;yes
40;blue-collar;single;secondary;no;4299;yes;no;cellular;4;may;364;1;-1;0;unknown;no
35;blue-collar;married;secondary;no;2375;no;no;cellular;3;may;182;1;-1;0;unknown;no
51;management;single;primary;no;7959;yes;no;telephone;9;apr;35;1;-1;0;other;no
44;management;married;tertiary;no;644;no;yes;unknown;27;may;83;5;-1;0;unknown;yes
21;admin.;married;tertiary;no;4676;yes;no;unknown;10;jul;69;2;-1;0;unknown;no
54;technician;married;secondary;no;-2996;no;no;cellular;17;sep;190;1;-1;0;success;yes
46;services;married;tertiary;no;5538;yes;no;unknown;22;may;78;3;-1;0;unknown;no
29;management;single;secondary;no;4182;yes;yes;cellular;20;may;205;3;-1;0;unknown;no
37;technician;single;primary;no;6163;no;no;cellular;8;sep;88;1;-1;0;unknown;no
